Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
47860;Mecca;IN;39.725.201;-8.733.149;-5;0;39.725201,-87.33149
36915;Needham;AL;31.970.871;-8.834.902;-6;1;31.970871,-88.34902
16645;Glen Hope;PA;40.798.958.999.999.900;-7.850.032;-5;1;40.798959,-78.50032
7068;Roseland;NJ;40.821.799;-7.430.477;-5;1;40.821799,-74.30477
7446;Ramsey;NJ;41.058.819;-7.414.238;-5;1;41.058819,-74.14238
7931;Far Hills;NJ;40.696.601;-7.463.781;-5;1;40.696601,-74.63781
8224;New Gretna;NJ;39.595.957;-7.445.628;-5;1;39.595957,-74.45628
10060;New York;NY;40.780.751;-73.977.182;-5;1;40.780751,-73.977182
28364;Maxton;NC;34.735.024;-7.932.836;-5;1;34.735024,-79.32836
28727;Edneyville;NC;35.322.276;-82.503.226;-5;1;35.322276,-82.503226
29001;Alcolu;SC;3.376.993;-8.017.278;-5;1;33.76993,-80.17278
29686;Tamassee;SC;34.898.387;-8.304.391;-5;1;34.898387,-83.04391
30012;Conyers;GA;33.696.714;-8.401.732;-5;1;33.696714,-84.01732
11385;Ridgewood;NY;40.703.069;-7.389.285;-5;1;40.703069,-73.89285
11772;Patchogue;NY;40.770.898;-7.300.213;-5;1;40.770898,-73.00213
12517;Copake Falls;NY;42.144.585;-7.351.463;-5;1;42.144585,-73.51463
23409;Mears;VA;37.859.953;-7.562.995;-5;1;37.859953,-75.62995
23436;Suffolk;VA;36.894.736;-7.651.281;-5;1;36.894736,-76.51281
21212;Baltimore;MD;39.363.456;-7.661.142;-5;1;39.363456,-76.61142
25720;Huntington;WV;38.413.384;-82.277.401;-5;1;38.413384,-82.277401
94501;Alameda;CA;37.769.528;-12.225.937;-8;1;37.769528,-122.25937
95330;Lathrop;CA;37.816.876;-12.128.541;-8;1;37.816876,-121.28541
97112;Cloverdale;OR;45.257.176;-12.389.141;-8;1;45.257176,-123.89141
90840;Long Beach;CA;33.784.266;-118.115.698;-8;1;33.784266,-118.115698
91803;Alhambra;CA;34.072.959;-1.181.462;-8;1;34.072959,-118.1462
93464;Solvang;CA;34.674.436;-120.111.465;-8;1;34.674436,-120.111465
97708;Bend;OR;44.001.834;-12.094.952;-8;1;44.001834,-120.94952
98907;Yakima;WA;46.628.757;-120.573.967;-8;1;46.628757,-120.573967
1225;Cheshire;MA;42.551.731;-731.653;-5;1;42.551731,-73.1653
61520;Canton;IL;40.552.853;-9.002.794;-6;1;40.552853,-90.02794
62520;Dawson;IL;39.824.457;-8.945.643;-6;1;39.824457,-89.45643
62820;Burnt Prairie;IL;38.247.883;-8.822.944;-6;1;38.247883,-88.22944
71072;Shongaloo;LA;32.941.481;-933.102;-6;1;32.941481,-93.3102
71334;Ferriday;LA;31.667.978;-9.151.382;-6;1;31.667978,-91.51382
72516;Boswell;AR;36.064.329;-91.944.673;-6;1;36.064329,-91.944673
72577;Sidney;AR;36.033.231;-9.170.461;-6;1;36.033231,-91.70461
72716;Bentonville;AR;36.299.507;-93.956.801;-6;1;36.299507,-93.956801
81248;Sargents;CO;38.410.975;-10.647.812;-7;1;38.410975,-106.47812
57729;Creighton;SD;44.308.909;-10.209.713;-7;1;44.308909,-102.09713
58455;Kensal;ND;47.290.251;-9.875.318;-6;1;47.290251,-98.75318
67474;Portis;KS;39.579.664;-9.870.224;-6;1;39.579664,-98.70224
65339;Malta Bend;MO;39.180.956;-9.337.889;-6;1;39.180956,-93.37889
66554;Randolph;KS;39.472.188;-9.676.806;-6;1;39.472188,-96.76806
73528;Chattanooga;OK;34.425.098;-9.865.892;-6;1;34.425098,-98.65892
74947;Monroe;OK;34.991.767;-9.451.763;-6;1;34.991767,-94.51763
75555;Bivins;TX;32.930.895;-9.413.542;-6;1;32.930895,-94.13542
77013;Houston;TX;2.978.146;-9.524.289;-6;1;29.78146,-95.24289
94557;Hayward;CA;37.680.181;-121.921.498;-8;1;37.680181,-121.921498
52404;Cedar Rapids;IA;41.947.335;-9.168.819;-6;1;41.947335,-91.68819
53571;Morrisonville;WI;43.277.409;-8.935.853;-6;1;43.277409,-89.35853
53589;Stoughton;WI;42.926.473;-8.922.432;-6;1;42.926473,-89.22432
55040;Isanti;MN;45.470.239;-9.327.947;-6;1;45.470239,-93.27947
36539;Fruitdale;AL;31.375.241;-8.841.557;-6;1;31.375241,-88.41557
37397;Whitwell;TN;3.520.297;-8.549.733;-6;1;35.20297,-85.49733
38730;Boyle;MS;33.701.986;-9.076.402;-6;1;33.701986,-90.76402
40448;McKinney;KY;37.460.003;-8.475.676;-5;1;37.460003,-84.75676
44119;Cleveland;OH;41.586.749;-8.154.584;-5;1;41.586749,-81.54584
44437;McDonald;OH;41.159.574;-8.073.083;-5;1;41.159574,-80.73083
47671;Oxford;IN;40.519.221;-87.255.079;-5;0;40.519221,-87.255079
47830;Bellmore;IN;39.779.078;-87.221.819;-5;0;39.779078,-87.221819
59447;Geyser;MT;47.268.612;-11.044.229;-7;1;47.268612,-110.44229
61238;Cambridge;IL;41.286.797;-9.017.486;-6;1;41.286797,-90.17486
61358;Rutland;IL;40.986.256;-8.904.364;-6;1;40.986256,-89.04364
61865;Potomac;IL;40.306.774;-8.780.716;-6;1;40.306774,-87.80716
50263;Waukee;IA;41.601.516;-9.386.151;-6;1;41.601516,-93.86151
4413;Brookton;ME;4.553.866;-6.775.295;-5;1;45.53866,-67.75295
5345;Newfane;VT;43.003.271;-7.265.777;-5;1;43.003271,-72.65777
7608;Teterboro;NJ;40.853.723;-7.405.987;-5;1;40.853723,-74.05987
7777;Holmdel;NJ;40.302.718;-7.424.928;-5;1;40.302718,-74.24928
15031;Cuddy;PA;40.347.826;-801.656;-5;1;40.347826,-80.1656
16366;Warren;PA;41.811.682;-79.264.322;-5;1;41.811682,-79.264322
41124;Blaine;KY;38.028.476;-8.284.781;-5;1;38.028476,-82.84781
42786;Waterview;KY;36.819.839;-85.462.435;-6;1;36.819839,-85.462435
47805;Terre Haute;IN;39.535.285;-8.735.222;-5;0;39.535285,-87.35222
13436;Raquette Lake;NY;43.807.314;-7.466.771;-5;1;43.807314,-74.66771
29306;Spartanburg;SC;34.925.353;-819.308;-5;1;34.925353,-81.9308
29835;McCormick;SC;3.391.509;-8.230.548;-5;1;33.91509,-82.30548
26384;Linn;WV;38.983.677;-8.070.654;-5;1;38.983677,-80.70654
28101;McAdenville;NC;35.256.379;-8.107.978;-5;1;35.256379,-81.07978
44423;Hanoverton;OH;4.075.105;-8.091.009;-5;1;40.75105,-80.91009
45642;Jasper;OH;39.047.577;-8.305.382;-5;1;39.047577,-83.05382
35555;Fayette;AL;33.681.768;-8.783.026;-6;1;33.681768,-87.83026
39354;Preston;MS;32.873.605;-8.884.028;-6;1;32.873605,-88.84028
31216;Macon;GA;32.730.641;-836.793;-5;1;32.730641,-83.6793
31726;Bronwood;GA;31.832.214;-8.435.727;-5;1;31.832214,-84.35727
31993;Columbus;GA;32.482.142;-84.977.131;-5;1;32.482142,-84.977131
23468;Virginia Beach;VA;36.843.948;-76.142.407;-5;1;36.843948,-76.142407
25909;Prosperity;WV;37.837.706;-8.119.722;-5;1;37.837706,-81.19722
80644;Kersey;CO;40.363.777;-10.451.964;-7;1;40.363777,-104.51964
20194;Reston;VA;38.977.362;-7.734.658;-5;1;38.977362,-77.34658
83615;Donnelly;ID;44.699.961;-11.605.992;-7;1;44.699961,-116.05992
20758;Friendship;MD;38.731.822;-7.659.378;-5;1;38.731822,-76.59378
11959;Quogue;NY;40.825.411;-7.260.506;-5;1;40.825411,-72.60506
75850;Leona;TX;31.134.863;-9.593.312;-6;1;31.134863,-95.93312
12308;Schenectady;NY;42.820.909;-7.392.002;-5;1;42.820909,-73.92002
69169;Wallace;NE;40.820.868;-10.117.982;-6;1;40.820868,-101.17982
26328;Blandville;WV;39.270.846;-80.719.742;-5;1;39.270846,-80.719742
85035;Phoenix;AZ;33.472.492;-1.121.875;-7;0;33.472492,-112.1875
27299;Linwood;NC;35.752.578;-8.037.587;-5;1;35.752578,-80.37587
70393;Plattenville;LA;29.995.157;-9.102.586;-6;1;29.995157,-91.02586
